Location,Station,Log2 Body mass (g) ,del15N,del15Nbaseline,TLbaseline,TLscaled,TLconstant,Reference and data source,
North Sea,39,7.5,14.697,6.917,2.5,4.821352641,4.788235294,Jennings and Warr 2003,
North Sea,39,8.5,15.115,6.917,2.5,5.010613388,4.911176471,Jennings and Warr 2003,
North Sea,39,9.5,14.32,6.917,2.5,4.65981636,4.677352941,Jennings and Warr 2003,
North Sea,40,5.5,12.817,6.577,2.5,4.158000892,4.335294118,Jennings and Warr 2003,
North Sea,40,6.5,12.929,6.577,2.5,4.1973127,4.368235294,Jennings and Warr 2003,
North Sea,40,7.5,12.601,6.577,2.5,4.083531816,4.271764706,Jennings and Warr 2003,
North Sea,40,8.5,13.146,6.577,2.5,4.274891825,4.432058824,Jennings and Warr 2003,
North Sea,40,9.5,13.039,6.577,2.5,4.236401787,4.400588235,Jennings and Warr 2003,
North Sea,40,10.5,12.845,6.577,2.5,4.167783342,4.343529412,Jennings and Warr 2003,
North Sea,41,5.5,11.785,6.482,2.5,3.836581228,4.059705882,Jennings and Warr 2003,
North Sea,41,6.5,11.839,6.482,2.5,3.853546603,4.075588235,Jennings and Warr 2003,
North Sea,41,7.5,11.409,6.482,2.5,3.720898352,3.949117647,Jennings and Warr 2003,
North Sea,41,8.5,11.942,6.482,2.5,3.886159821,4.105882353,Jennings and Warr 2003,
North Sea,41,9.5,14.48,6.482,2.5,4.818156488,4.852352941,Jennings and Warr 2003,
North Sea,41,10.5,14.687,6.482,2.5,4.907744101,4.913235294,Jennings and Warr 2003,
North Sea,42,5.5,10.767,5.165,2.5,3.792649321,4.147647059,Jennings and Warr 2003,
North Sea,42,6.5,11.26,5.165,2.5,3.936227329,4.292647059,Jennings and Warr 2003,
North Sea,42,7.5,11.237,5.165,2.5,3.929382701,4.285882353,Jennings and Warr 2003,
North Sea,42,8.5,11.209,5.165,2.5,3.921069961,4.277647059,Jennings and Warr 2003,
North Sea,42,9.5,12.297,5.165,2.5,4.261232063,4.597647059,Jennings and Warr 2003,
North Sea,43,5.5,10.38,4.987,2.5,3.717885464,4.086176471,Jennings and Warr 2003,
North Sea,43,6.5,11.383,4.987,2.5,4.006650738,4.381176471,Jennings and Warr 2003,
North Sea,43,7.5,10.533,4.987,2.5,3.760273629,4.131176471,Jennings and Warr 2003,
North Sea,43,8.5,12.198,4.987,2.5,4.262296271,4.620882353,Jennings and Warr 2003,
North Sea,43,9.5,11.88,4.987,2.5,4.160086665,4.527352941,Jennings and Warr 2003,
North Sea,43,10.5,13.367,4.987,2.5,4.669101588,4.964705882,Jennings and Warr 2003,
North Sea,44,5.5,10.548,5.186,2.5,3.726909123,4.077058824,Jennings and Warr 2003,
North Sea,44,6.5,11.255,5.186,2.5,3.930754455,4.285,Jennings and Warr 2003,
North Sea,44,7.5,11.347,5.186,2.5,3.958268412,4.312058824,Jennings and Warr 2003,
North Sea,44,9.5,11.752,5.186,2.5,4.082305284,4.431176471,Jennings and Warr 2003,
North Sea,44,10.5,13.327,5.186,2.5,4.616735281,4.894411765,Jennings and Warr 2003,
